date,Samba,Gazelle,Air Force 1,New Balance 550,Salomon XT-6,isPartial,country,segment,region,baggy jeans,chunky sneakers,cargo pants,cropped tops,puffer jackets,athleisure,quiet luxury,gorpcore,Y2K fashion,normcore
2025-03-22,85.0,46.0,50.0,11.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-03-23,100.0,47.0,48.0,17.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-03-24,71.0,35.0,42.0,14.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-03-25,66.0,36.0,38.0,22.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-03-26,68.0,34.0,38.0,25.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-03-27,67.0,34.0,40.0,18.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-03-28,69.0,35.0,44.0,14.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-03-29,79.0,41.0,51.0,16.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-03-30,83.0,43.0,47.0,13.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-03-31,65.0,35.0,40.0,12.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-01,64.0,32.0,43.0,9.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-02,64.0,31.0,41.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-03,66.0,33.0,39.0,9.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-04,66.0,35.0,39.0,10.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-05,80.0,39.0,48.0,11.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-06,87.0,44.0,46.0,11.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-07,64.0,33.0,40.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-08,59.0,31.0,37.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-09,62.0,29.0,35.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-10,62.0,34.0,41.0,9.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-11,66.0,36.0,41.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-12,73.0,40.0,48.0,12.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-13,77.0,39.0,47.0,11.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-14,58.0,32.0,41.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-15,60.0,31.0,40.0,6.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-16,64.0,33.0,40.0,10.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-17,65.0,36.0,47.0,9.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-18,70.0,34.0,45.0,10.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-19,77.0,44.0,50.0,10.0,2.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-20,74.0,38.0,50.0,9.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-21,60.0,33.0,36.0,9.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-22,59.0,31.0,40.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-23,62.0,33.0,41.0,9.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-24,58.0,29.0,39.0,7.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-25,63.0,29.0,38.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-26,67.0,36.0,43.0,10.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-27,75.0,38.0,45.0,11.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-28,62.0,34.0,40.0,9.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-29,61.0,33.0,36.0,7.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-04-30,60.0,30.0,46.0,8.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-01,62.0,34.0,49.0,9.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-02,60.0,34.0,45.0,10.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-03,75.0,34.0,49.0,11.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-04,77.0,40.0,55.0,10.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-05,65.0,31.0,44.0,10.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-06,61.0,31.0,43.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-07,62.0,31.0,42.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-08,62.0,27.0,44.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-09,65.0,36.0,43.0,10.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-10,79.0,38.0,47.0,11.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-11,81.0,37.0,54.0,11.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-12,67.0,32.0,56.0,10.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-13,60.0,32.0,52.0,9.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-14,57.0,38.0,49.0,6.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-15,60.0,29.0,46.0,7.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-16,53.0,30.0,47.0,7.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-17,72.0,34.0,49.0,9.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-18,72.0,36.0,50.0,10.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-19,57.0,31.0,38.0,8.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-20,60.0,29.0,39.0,10.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-21,53.0,31.0,37.0,8.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-22,53.0,28.0,48.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-23,60.0,29.0,42.0,9.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-24,63.0,32.0,49.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-25,79.0,34.0,48.0,11.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-26,69.0,35.0,44.0,14.0,2.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-27,58.0,28.0,35.0,13.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-28,53.0,28.0,38.0,10.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-29,51.0,28.0,35.0,9.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-30,63.0,33.0,41.0,9.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-05-31,67.0,33.0,47.0,10.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-01,72.0,34.0,44.0,11.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-02,57.0,28.0,37.0,8.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-03,61.0,29.0,38.0,9.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-04,56.0,28.0,35.0,9.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-05,60.0,29.0,43.0,9.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-06,61.0,29.0,41.0,7.0,0.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-07,67.0,37.0,45.0,10.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-08,71.0,35.0,45.0,10.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-09,59.0,30.0,40.0,9.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-10,58.0,28.0,39.0,9.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-11,60.0,32.0,38.0,9.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-12,59.0,32.0,44.0,8.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-13,61.0,31.0,43.0,9.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-14,69.0,35.0,53.0,9.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-15,76.0,35.0,49.0,11.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-16,57.0,31.0,40.0,8.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-17,59.0,28.0,39.0,9.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-18,58.0,27.0,40.0,8.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-19,63.0,28.0,42.0,9.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-20,66.0,28.0,44.0,9.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-21,66.0,29.0,46.0,10.0,1.0,False,US,Sneakers,US,,,,,,,,,,
2025-06-22,68.0,33.0,43.0,9.0,1.0,True,US,Sneakers,US,,,,,,,,,,
2025-03-22,92.0,47.0,45.0,12.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-03-23,100.0,47.0,46.0,14.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-03-24,79.0,37.0,27.0,13.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-03-25,66.0,37.0,27.0,12.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-03-26,70.0,38.0,23.0,18.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-03-27,71.0,38.0,36.0,17.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-03-28,64.0,30.0,27.0,14.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-03-29,85.0,43.0,42.0,18.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-03-30,88.0,42.0,39.0,11.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-03-31,59.0,33.0,34.0,11.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-01,55.0,26.0,29.0,15.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-02,53.0,34.0,27.0,10.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-03,63.0,37.0,29.0,12.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-04,65.0,34.0,31.0,12.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-05,74.0,43.0,28.0,13.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-06,82.0,49.0,36.0,14.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-07,73.0,30.0,30.0,9.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-08,57.0,36.0,38.0,8.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-09,52.0,35.0,21.0,7.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-10,53.0,34.0,30.0,8.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-11,62.0,32.0,31.0,7.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-12,88.0,43.0,28.0,12.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-13,89.0,41.0,46.0,15.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-14,57.0,32.0,33.0,10.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-15,67.0,34.0,31.0,13.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-16,74.0,32.0,30.0,13.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-17,72.0,43.0,28.0,10.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-18,71.0,42.0,35.0,19.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-19,81.0,46.0,34.0,21.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-20,76.0,34.0,26.0,16.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-21,72.0,45.0,27.0,7.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-22,59.0,34.0,23.0,0.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-23,67.0,31.0,27.0,9.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-24,47.0,29.0,32.0,0.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-25,64.0,36.0,27.0,14.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-26,73.0,41.0,38.0,15.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-27,78.0,45.0,38.0,13.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-28,67.0,32.0,30.0,10.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-29,50.0,27.0,21.0,8.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-04-30,60.0,33.0,33.0,10.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-01,59.0,36.0,36.0,9.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-02,58.0,41.0,32.0,12.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-03,75.0,45.0,39.0,8.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-04,81.0,50.0,40.0,17.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-05,68.0,28.0,25.0,0.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-06,65.0,35.0,42.0,11.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-07,52.0,30.0,30.0,11.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-08,59.0,28.0,33.0,7.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-09,72.0,34.0,30.0,12.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-10,69.0,41.0,34.0,12.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-11,77.0,45.0,43.0,22.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-12,74.0,33.0,38.0,11.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-13,55.0,34.0,37.0,11.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-14,57.0,30.0,32.0,12.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-15,51.0,34.0,33.0,9.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-16,59.0,36.0,32.0,10.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-17,72.0,35.0,34.0,0.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-18,75.0,45.0,35.0,11.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-19,70.0,35.0,29.0,8.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-20,53.0,29.0,35.0,0.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-21,47.0,31.0,24.0,11.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-22,54.0,31.0,21.0,9.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-23,60.0,28.0,25.0,8.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-24,70.0,38.0,37.0,11.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-25,76.0,28.0,36.0,9.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-26,58.0,23.0,34.0,11.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-27,49.0,43.0,27.0,10.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
2025-05-28,54.0,58.0,26.0,0.0,0.0,False,CA,Sneakers,CA,,,,,,,,,,
